Title,IMDb Rating,Your Rating,Year,Metascore,RT Audience,RT Critics
Blood Diamond,8,7,2006,64,90,63
1408,6.8,6,2007,64,61,79
Wonder Woman,7.4,6,2017,76,83,93
Gone Baby Gone,7.6,8,2007,72,86,94
Life of Pi,7.9,8,2012,79,84,86
The Pursuit of Happyness,8,9,2006,64,87,67
Nocturnal Animals,7.5,8,2016,67,73,74
The Last King of Scotland,7.7,7,2006,74,89,87
Captain America: The First Avenger,6.9,7,2011,66,74,80
The Devil Wears Prada,6.9,7,2006,62,76,75
Roman Holiday,8,7,1953,78,93,97
Spider-Man: Into the Spider-Verse,8.4,7,2018,87,93,97
Juste la fin du monde,6.9,6,2016,48,55,43
Juno,7.4,8,2007,81,88,94
The Dark Knight,9,9,2008,84,94,94
The Death of Stalin,7.2,7,2017,88,78,95
Hunt for the Wilderpeople,7.9,9,2016,81,91,97
Ex Machina,7.7,7,2014,78,86,92
Apocalypto,7.8,7,2006,68,79,66
Klaus,8.2,7,2019,65,96,94
The Great Hack,7.1,7,2019,67,66,87
Rear Window,8.4,8,1954,100,95,97
Knocked Up,6.9,5,2007,85,83,89
Ant-Man,7.3,8,2015,64,86,82
I Am Legend,7.2,8,2007,65,68,68
Hall Pass,5.8,7,2011,45,40,33
The Prestige,8.5,9,2006,66,92,76
High Life,5.8,6,2018,77,42,82
Good Time,7.4,8,2017,80,81,92
Hidden Figures,7.8,7,2016,74,93,93
Contratiempo,8.1,9,2016,,86,67
Mr. Nobody,7.8,7,2009,63,76,68
Fracture,7.2,7,2007,68,73,71
Perfetti sconosciuti,7.8,9,2016,,83,77
Lady Bird,7.4,6,2017,94,79,99
Split,7.3,5,2016,62,79,99
Moonlight,7.4,8,2016,99,79,98
Avatar,7.8,7,2009,83,82,82
The Square,7.2,7,2017,75,71,85
12 Angry Men,9,9,1957,96,87,92
Dunkirk,7.8,8,2017,94,81,92
"Three Billboards Outside Ebbing, Missouri",8.1,8,2017,88,87,90
Get Out,7.7,7,2017,85,86,98
The Favourite,7.5,7,2018,91,69,93
Ant-Man and the Wasp,7,8,2018,70,75,87
Vertigo,8.3,9,1958,100,93,94
North by Northwest,8.3,8,1959,98,94,99
Wind River,7.7,8,2017,73,90,88
Sound of Metal,7.8,8,2019,82,91,97
Psycho,8.5,8,1960,47,95,96
Logan Lucky,7,6,2017,78,76,92
Deadpool 2,7.7,7,2018,66,85,84
"I, Tonya",7.5,7,2017,77,88,89
The Shape of Water,7.3,7,2017,87,72,92
Visages villages,7.9,7,2017,94,89,99
The Florida Project,7.6,8,2017,92,80,96
The Killing of a Sacred Deer,7,6,2017,73,63,80
Uncut Gems,7.4,8,2019,91,52,91
Lucky,7.4,7,2017,80,81,97
American Animals,7,7,2018,68,81,88
Creed II,7.1,6,2018,66,79,83
Upgrade,7.5,7,2018,67,87,88
Bad Times at the El Royale,7.1,7,2018,60,73,75
A Quiet Place,7.5,6,2018,82,82,96
A Clockwork Orange,8.3,9,1971,77,93,86
Tenet,7.5,7,2020,69,76,70
Den skyldige,7.5,8,2018,83,87,97
Gisaengchung,8.6,9,2019,96,90,98
Lazzaro felice,7.5,7,2018,87,81,91
The Godfather,9.2,10,1972,100,98,97
Green Book,8.2,10,2018,69,91,78
Papillon,8,6,1973,51,90,79
Once Upon a Time... in Hollywood,7.6,7,2019,83,70,85
The Godfather: Part II,9,9,1974,90,97,96
Monty Python and the Holy Grail,8.2,9,1975,91,95,97
Joker,8.4,9,2019,59,88,68
One Flew Over the Cuckoo's Nest,8.7,7,1975,83,96,94
BlacKkKlansman,7.5,6,2018,83,83,96
Beats,7.1,6,2019,74,57,89
Taxi Driver,8.2,8,1976,94,93,96
Annie Hall,8,6,1977,92,92,96
Into the Wild,8.1,7,2007,73,89,83
Body of Lies,7.1,6,2008,57,62,55
I Now Pronounce You Chuck & Larry,5.9,6,2007,37,69,15
Brothers,7.1,7,2009,58,62,64
Marriage Story,7.9,10,2019,94,85,94
American Gangster,7.8,6,2007,76,86,81
Star Wars,8.6,9,1977,90,57,72
Hereditary,7.3,6,2018,87,67,89
Drive,7.8,8,2011,78,79,92
In Bruges,7.9,8,2008,67,87,84
Alien,8.4,7,1979,89,94,98
Dallas Buyers Club,8,8,2013,80,91,93
Life of Brian,8.1,10,1979,77,93,95
The Lighthouse,7.5,6,2019,83,72,90
Forgetting Sarah Marshall,7.1,7,2008,67,76,83
The Dirt,7,7,2019,39,94,38
Thor,7,6,2011,57,76,77
Lars and the Real Girl,7.3,7,2007,70,84,81
The Elephant Man,8.1,7,1980,78,93,92
Star Wars: Episode V - The Empire Strikes Back,8.7,10,1980,82,97,94
Manbiki kazoku,7.9,7,2018,93,91,99
Raging Bull,8.2,8,1980,89,93,93
The Shining,8.4,10,1980,66,93,84
She's Out of My League,6.4,7,2010,46,59,58
Interstellar,8.6,9,2014,74,86,72
World War Z,7,6,2013,63,72,66
Drillbit Taylor,5.7,5,2008,41,44,26
El hoyo,7,7,2019,73,72,80
Superbad,7.6,8,2007,76,87,88
Climax,7,6,2018,67,66,68
Blade Runner,8.1,7,1982,84,91,90
The Gentlemen,7.8,8,2019,51,84,75
Step Brothers,6.9,8,2008,51,69,55
Fast Times at Ridgemont High,7.2,6,1982,61,80,77
The Town,7.5,8,2010,74,85,92
The Two Popes,7.6,7,2019,75,88,89
The Avengers,8,8,2012,12,15,5
1917,8.3,9,2019,78,88,89
Eurovision Song Contest: The Story of Fire Saga,6.5,4,2020,50,77,63
The Meaning of Life,7.5,7,1983,,83,85
Star Wars: Episode VI - Return of the Jedi,8.3,8,1983,58,94,82
Scarface,8.3,8,1983,65,93,82
Trading Places,7.5,4,1983,69,84,88
Boze Cialo,7.7,10,2019,77,94,98
Amadeus,8.3,7,1984,88,95,93
Midsommar,7.1,8,2019,72,63,83
The Blind Side,7.6,8,2009,53,85,66
Back to the Future,8.5,9,1985,87,94,96
